,PROMEDIO,ID_CARRERA,ID_ESCUELA
1087,9.0,17,915
1088,9.7,39,709
1089,9.0,10,716
1090,9.0,16,1143
1091,8.0,20,380
1092,8.4,68,380
1093,8.7,52,778
1094,9.1,68,144
1095,7.5,68,778
1096,9.0,68,1143
1097,8.4,67,1095
1098,8.5,7,755
1099,9.48,6,472
1100,9.4,56,472
1101,8.0,62,1143
1102,7.0,68,1143
1103,7.7,13,1143
1104,8.3,10,753
1105,8.3,15,1233
1106,7.9,15,1143
1107,7.2,78,494
1108,7.9,24,1234
1109,9.2,56,221
1110,8.5,78,489
1111,8.5,61,767
1112,9.1,20,753
1113,9.0,68,78
1114,9.0,24,910
1115,9.44,68,719
1116,9.2,68,1235
1117,8.0,7,470
1118,9.68,30,470
1119,8.8,39,470
1120,8.2,30,470
1121,8.5,77,767
1122,9.2,20,719
1123,8.9,75,1097
1124,7.9,17,1236
1125,8.9,7,98
1126,8.6,1,144
1127,8.2,27,1146
1128,9.0,68,1032
1129,9.4,18,388
1130,8.0,1,669
1131,9.1,7,753
1132,9.8,70,679
1133,8.0,56,709
1134,9.0,13,709
1135,8.5,15,459
1136,8.3,72,450
1137,9.0,58,181
1138,8.5,78,144
1139,9.0,6,913
1140,9.0,33,836
1141,8.3,52,836
1142,8.5,20,1237
1143,9.6,7,380
1144,9.3,77,383
1145,8.4,51,470
1146,8.0,50,723
1147,8.6,10,915
1148,8.5,77,755
1149,8.9,20,755
1150,8.5,52,1238
1151,8.5,33,1239
1152,8.0,10,1240
1153,8.0,68,723
1154,8.5,68,719
1155,9.44,78,909
1156,7.5,1,1030
1157,8.1,18,909
1158,8.5,1,909
1159,8.5,33,719
1160,8.3,61,773
1161,8.6,24,719
1162,8.0,27,503
1163,9.17,68,915
1164,8.7,24,503
1165,8.2,67,1160
1166,9.0,7,388
1167,8.0,68,899
1168,8.9,75,699
1169,9.0,75,911
1170,9.3,68,696
1171,8.9,51,1235
1172,9.3,68,696
1173,8.9,68,911
1174,8.7,68,696
1175,8.79,75,487
1176,8.0,15,380
1177,8.5,50,1160
1178,8.0,84,487
1179,8.8,75,911
1180,8.4,24,1156
1181,9.3,16,417
1182,9.0,68,413
1183,9.2,24,698
1184,8.0,77,188
1185,9.4,10,403
1186,8.0,32,745
1187,9.0,9,1241
1188,8.0,50,803
1189,8.8,68,837
1190,8.5,51,1115
1191,8.5,75,494
1192,9.6,77,913
1193,7.0,31,765
1194,8.1,67,755
1195,10.0,77,530
1196,8.4,68,832
1197,8.2,68,832
1198,8.0,68,718
1199,9.0,49,756
1200,8.0,75,773
1201,8.0,18,773
1202,8.0,58,393
1203,8.0,33,472
1204,7.8,29,472
1205,9.4,77,646
1206,7.8,27,2
1207,8.0,10,140
1208,8.3,20,694
1209,8.0,7,494
1210,7.5,20,494
1211,8.0,27,759
1212,8.7,33,759
1213,7.4,72,759
1214,9.5,67,759
1215,8.9,10,753
1216,8.0,22,755
1217,8.7,20,753
1218,7.1,62,745
1219,9.1,33,753
1220,8.7,41,910
1221,8.9,24,181
1222,9.4,20,181
1223,7.6,51,766
1224,8.5,75,766
1225,9.5,68,719
1226,8.5,20,174
1227,8.01,77,698
1228,9.0,10,766
1229,8.4,20,909
1230,9.4,68,915
1231,9.3,13,723
1232,9.6,52,723
1233,8.5,68,1160
1234,9.0,75,1160
1235,8.88,17,698
1236,9.0,68,914
1237,9.0,68,773
1238,8.7,68,698
1239,8.0,1,767
1240,8.4,77,909
1241,9.8,27,915
1242,9.9,52,1242
1243,8.9,49,181
1244,8.0,68,144
1245,9.9,78,1243
1246,9.8,18,415
1247,9.8,24,913
1248,8.4,68,915
1249,9.1,1,909
1250,8.0,24,719
1251,9.1,50,1008
1252,9.3,20,754
1253,7.5,62,756
1254,9.4,57,181
1255,9.8,33,683
1256,9.9,56,497
1257,8.7,24,388
1258,8.0,18,388
1259,7.5,7,1244
1260,8.0,20,1245
1261,8.0,32,694
1262,8.0,77,399
1263,9.6,58,753
1264,8.9,68,659
1265,7.5,18,753
1266,9.4,68,716
1267,7.6,10,716
1268,8.0,67,716
1269,8.1,52,1123
1270,8.0,52,755
1271,7.9,20,188
1272,9.4,56,1095
1273,8.4,24,489
1274,8.0,20,1135
1275,9.0,1,755
1276,8.5,24,755
1277,9.2,75,1067
1278,9.2,75,1067
1279,8.0,17,363
1280,8.0,52,1246
1281,8.7,58,911
1282,8.5,75,699
1283,9.4,7,439
1284,8.9,56,181
1285,8.0,56,464
1286,9.3,68,218
1287,8.0,32,758
1288,7.0,27,557
1289,7.0,18,1247
1290,8.0,18,915
1291,9.0,68,669
1292,8.5,68,669
1293,8.5,77,669
1294,8.5,68,669
1295,8.6,1,388
1296,9.1,68,911
1297,8.6,62,1248
1298,8.0,68,698
1299,9.1,75,755
1300,8.9,24,755
1301,9.6,77,755
1302,8.83,68,914
1303,7.5,52,541
1304,8.8,68,844
1305,8.6,68,835
1306,8.1,68,844
1307,8.5,20,835
1308,9.0,18,764
1309,8.7,30,1093
1310,8.7,75,78
1311,8.1,62,1249
1312,9.0,68,759
1313,8.75,1,754
1314,9.5,1,1250
1315,9.0,20,833
1316,9.5,7,753
1317,8.5,75,2
1318,8.6,13,78
1319,8.9,17,495
1320,9.6,18,770
1321,8.5,17,1195
1322,8.3,75,915
1323,8.0,77,698
1324,7.3,1,910
1325,8.7,6,476
1326,9.5,15,753
1327,8.6,56,716
