,ID_ESCUELA,NOMBRE_ESCUELA
3627,915,LIC. BENITO JUµREZ GARCÖA
3628,386,ANGLO HISPANOMEXICANO
3629,909,2 DE OCTUBRE DE 1968
3630,766,COBAEP PLANTEL 14
3631,1410,ESCUELA PREP DE OCCIDENTE DE PUEBLA
3632,386,ANGLO HISPANOMEXICANO
3633,1394,ENRIQUE CABRERA
3634,1411,COLEGIO GAMEZ
3635,569,VICENTE SUµREZ FERRER
3636,504,INST. WASHINGTON A.C.
3637,14,CEB JOSE VASCONCELOS
3638,742,CETIS PLANTEL NO. 104
3639,324,AQUILES SERDµN
3640,3,CENTRO DE ESTUDIOS DE BACHILLERATO
3641,1007,AMRICA
3642,538,OFICIAL INSURGENTES
3643,504,INST. WASHINGTON A.C.
3644,714,GRAL. RAFAEL µVILA CAMACHO
3645,915,LIC. BENITO JUµREZ GARCÖA
3646,772,COBAEP PLANTEL 20
3647,1109,INST. IBERIA A.C.
3648,915,LIC. BENITO JUµREZ GARCÖA
3649,772,COBAEP PLANTEL 20
3650,383,ACTIVO MXICO
3651,198,4 DE NOVIEMBRE DE 1920
3652,1109,INST. IBERIA A.C.
3653,833,COBAT PLANTEL 02
3654,1412,INSTITUTO TECNOLOGICO CENTRO AMERICANO
3655,915,LIC. BENITO JUµREZ GARCÖA
3656,421,COLEGIO HISPANO INGLS DE ORIENTE
3657,915,LIC. BENITO JUµREZ GARCÖA
3658,372,OCTAVIO PAZ LOZANO
3659,1413,BACHILLERATO OFICIAL QUETZALCOATL
3660,909,2 DE OCTUBRE DE 1968
3661,1260,PREPARATORIA DE ORIENTE A.C.
3662,108,COLEGIO MXICO
3663,860,CONALEP PLANTEL NO. 2
3664,754,COBAEP PLANTEL 2
3665,1109,INST. IBERIA A.C.
3666,909,2 DE OCTUBRE DE 1968
3667,773,COBAEP PLANTEL 21
3668,910,ALFONSO CALDERàN MORENO
3669,909,2 DE OCTUBRE DE 1968
3670,683,CBTIS PLANTEL NO. 257
3671,1220,ABIERTA
3672,745,CETIS PLANTEL NO. 67
3673,915,LIC. BENITO JUµREZ GARCÖA
3674,833,COBAT PLANTEL 02
3675,915,LIC. BENITO JUµREZ GARCÖA
3676,754,COBAEP PLANTEL 2
3677,1414,INT PREVOCACIONAL DE CIENCIAS PEDAGOGICAS  XX ANIV
3678,20,ESC. SUP. DE ENFERMERIA NO. 4
3679,909,2 DE OCTUBRE DE 1968
3680,755,COBAEP PLANTEL 3
3681,754,COBAEP PLANTEL 2
3682,658,CBTIS PLANTEL NO. 178
3683,913,ENRIQUE CABRERA BARROSO (URBANA)
3684,913,ENRIQUE CABRERA BARROSO (URBANA)
3685,913,ENRIQUE CABRERA BARROSO (URBANA)
3686,187,COLEGIO HUMBOLDT A.C.
3687,913,ENRIQUE CABRERA BARROSO (URBANA)
3688,836,COBAT PLANTEL 05
3689,913,ENRIQUE CABRERA BARROSO (URBANA)
3690,683,CBTIS PLANTEL NO. 257
3691,767,COBAEP PLANTEL 15
3692,643,CECYTE PLANTEL 05
3693,523,LICEO BRITµNICO DE MXICO A.C.
3694,561,UNIVERSIDAD REALISTICA DE MEXICO
3695,643,CECYTE PLANTEL 05
3696,646,CECYTE PLANTEL 08
3697,403,CENTRO EDUCATIVO DE PUEBLA
3698,752,CETIS PLANTEL NO. 79
3699,1160,INSTITUTO MEXICANO MADERO
3700,388,BENAVENTE
3701,646,CECYTE PLANTEL 08
3702,1281,COBAT 12
3703,767,COBAEP PLANTEL 15
3704,388,BENAVENTE
3705,288,CENTRO DE ESTUDIOS INTENSIVOS CEI
3706,1415,PREPARATORIA ISABEL LA CATOLICA
3707,1415,PREPARATORIA ISABEL LA CATOLICA
3708,422,COLEGIO HOLISTICO DE MXICO
3709,1416,COBACH PLANTEL 10
3710,721,PDTE. FRANCISCO I. MADERO
3711,753,COBAEP PLANTEL 1
3712,562,UNIVERSITARIO IRLANDES
3713,403,CENTRO EDUCATIVO DE PUEBLA
3714,915,LIC. BENITO JUµREZ GARCÖA
3715,676,CBTIS PLANTEL NO. 16
3716,730,PROF. GREGORIO DE GANTE
3717,494,INST. ORIENTE DE PUEBLA A.C.
3718,730,PROF. GREGORIO DE GANTE
3719,478,INST. EUROCENTURY
3720,144,COLEGIO BENAVENTE
3721,773,COBAEP PLANTEL 21
