,ID_ESTADO,NOMBRE_ESTADO,ID_PAIS
4979,29,TLAXCALA,1
4980,21,PUEBLA,1
4981,21,PUEBLA,1
4982,21,PUEBLA,1
4983,21,PUEBLA,1
4984,21,PUEBLA,1
4985,21,PUEBLA,1
4986,29,TLAXCALA,1
4987,21,PUEBLA,1
4988,21,PUEBLA,1
4989,21,PUEBLA,1
4990,21,PUEBLA,1
4991,21,PUEBLA,1
4992,21,PUEBLA,1
4993,21,PUEBLA,1
4994,21,PUEBLA,1
4995,21,PUEBLA,1
4996,21,PUEBLA,1
4997,21,PUEBLA,1
4998,21,PUEBLA,1
4999,21,PUEBLA,1
5000,21,PUEBLA,1
5001,21,PUEBLA,1
5002,21,PUEBLA,1
5003,21,PUEBLA,1
5004,21,PUEBLA,1
5005,21,PUEBLA,1
5006,21,PUEBLA,1
5007,21,PUEBLA,1
5008,29,TLAXCALA,1
5009,21,PUEBLA,1
5010,21,PUEBLA,1
5011,21,PUEBLA,1
5012,21,PUEBLA,1
5013,21,PUEBLA,1
5014,21,PUEBLA,1
5015,21,PUEBLA,1
5016,21,PUEBLA,1
5017,21,PUEBLA,1
5018,21,PUEBLA,1
5019,21,PUEBLA,1
5020,21,PUEBLA,1
5021,21,PUEBLA,1
5022,21,PUEBLA,1
5023,21,PUEBLA,1
5024,21,PUEBLA,1
5025,21,PUEBLA,1
5026,29,TLAXCALA,1
5027,21,PUEBLA,1
5028,21,PUEBLA,1
5029,21,PUEBLA,1
5030,29,TLAXCALA,1
5031,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5032,21,PUEBLA,1
5033,21,PUEBLA,1
5034,21,PUEBLA,1
5035,21,PUEBLA,1
5036,21,PUEBLA,1
5037,21,PUEBLA,1
5038,21,PUEBLA,1
5039,12,GUERRERO,1
5040,12,GUERRERO,1
5041,12,GUERRERO,1
5042,21,PUEBLA,1
5043,21,PUEBLA,1
5044,21,PUEBLA,1
5045,21,PUEBLA,1
5046,21,PUEBLA,1
5047,21,PUEBLA,1
5048,21,PUEBLA,1
5049,21,PUEBLA,1
5050,21,PUEBLA,1
5051,21,PUEBLA,1
5052,21,PUEBLA,1
5053,21,PUEBLA,1
5054,21,PUEBLA,1
5055,21,PUEBLA,1
5056,29,TLAXCALA,1
5057,29,TLAXCALA,1
5058,29,TLAXCALA,1
5059,21,PUEBLA,1
5060,21,PUEBLA,1
5061,21,PUEBLA,1
5062,21,PUEBLA,1
5063,21,PUEBLA,1
5064,21,PUEBLA,1
5065,21,PUEBLA,1
5066,21,PUEBLA,1
5067,12,GUERRERO,1
5068,21,PUEBLA,1
5069,21,PUEBLA,1
5070,29,TLAXCALA,1
5071,21,PUEBLA,1
5072,21,PUEBLA,1
5073,21,PUEBLA,1
5074,21,PUEBLA,1
5075,21,PUEBLA,1
5076,21,PUEBLA,1
5077,21,PUEBLA,1
5078,21,PUEBLA,1
5079,21,PUEBLA,1
5080,21,PUEBLA,1
5081,21,PUEBLA,1
5082,21,PUEBLA,1
5083,21,PUEBLA,1
5084,21,PUEBLA,1
5085,21,PUEBLA,1
5086,21,PUEBLA,1
5087,21,PUEBLA,1
5088,21,PUEBLA,1
5089,21,PUEBLA,1
5090,21,PUEBLA,1
5091,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5092,21,PUEBLA,1
5093,21,PUEBLA,1
5094,9,DISTRITO FEDERAL,1
5095,21,PUEBLA,1
5096,24,SAN LUIS POTOSI,1
5097,21,PUEBLA,1
5098,21,PUEBLA,1
5099,21,PUEBLA,1
5100,21,PUEBLA,1
5101,21,PUEBLA,1
5102,21,PUEBLA,1
5103,21,PUEBLA,1
5104,21,PUEBLA,1
5105,21,PUEBLA,1
5106,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5107,21,PUEBLA,1
5108,21,PUEBLA,1
5109,21,PUEBLA,1
5110,15,MEXICO,1
5111,7,CHIAPAS,1
5112,21,PUEBLA,1
5113,21,PUEBLA,1
5114,21,PUEBLA,1
5115,21,PUEBLA,1
5116,21,PUEBLA,1
5117,21,PUEBLA,1
5118,21,PUEBLA,1
5119,21,PUEBLA,1
5120,21,PUEBLA,1
5121,21,PUEBLA,1
5122,21,PUEBLA,1
5123,21,PUEBLA,1
5124,21,PUEBLA,1
5125,21,PUEBLA,1
5126,21,PUEBLA,1
5127,21,PUEBLA,1
5128,29,TLAXCALA,1
5129,21,PUEBLA,1
5130,21,PUEBLA,1
5131,21,PUEBLA,1
5132,15,MEXICO,1
5133,21,PUEBLA,1
5134,21,PUEBLA,1
5135,21,PUEBLA,1
5136,15,MEXICO,1
5137,21,PUEBLA,1
5138,21,PUEBLA,1
5139,21,PUEBLA,1
5140,21,PUEBLA,1
5141,21,PUEBLA,1
5142,21,PUEBLA,1
5143,21,PUEBLA,1
5144,21,PUEBLA,1
5145,21,PUEBLA,1
5146,21,PUEBLA,1
5147,21,PUEBLA,1
5148,21,PUEBLA,1
5149,21,PUEBLA,1
5150,29,TLAXCALA,1
5151,21,PUEBLA,1
5152,21,PUEBLA,1
5153,29,TLAXCALA,1
5154,21,PUEBLA,1
5155,21,PUEBLA,1
5156,29,TLAXCALA,1
5157,21,PUEBLA,1
5158,21,PUEBLA,1
5159,29,TLAXCALA,1
5160,29,TLAXCALA,1
5161,21,PUEBLA,1
5162,21,PUEBLA,1
5163,29,TLAXCALA,1
5164,21,PUEBLA,1
5165,20,OAXACA,1
5166,21,PUEBLA,1
5167,9,DISTRITO FEDERAL,1
5168,21,PUEBLA,1
5169,21,PUEBLA,1
5170,21,PUEBLA,1
5171,21,PUEBLA,1
5172,21,PUEBLA,1
5173,21,PUEBLA,1
5174,21,PUEBLA,1
5175,21,PUEBLA,1
5176,21,PUEBLA,1
5177,29,TLAXCALA,1
5178,21,PUEBLA,1
5179,21,PUEBLA,1
5180,20,OAXACA,1
5181,21,PUEBLA,1
5182,21,PUEBLA,1
5183,20,OAXACA,1
5184,15,MEXICO,1
5185,21,PUEBLA,1
5186,21,PUEBLA,1
5187,21,PUEBLA,1
5188,21,PUEBLA,1
5189,21,PUEBLA,1
5190,20,OAXACA,1
5191,21,PUEBLA,1
5192,29,TLAXCALA,1
5193,13,HIDALGO,1
5194,21,PUEBLA,1
5195,21,PUEBLA,1
5196,21,PUEBLA,1
5197,21,PUEBLA,1
5198,21,PUEBLA,1
5199,17,MORELOS,1
5200,17,MORELOS,1
5201,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5202,17,MORELOS,1
5203,21,PUEBLA,1
5204,21,PUEBLA,1
5205,17,MORELOS,1
5206,21,PUEBLA,1
5207,21,PUEBLA,1
5208,12,GUERRERO,1
5209,21,PUEBLA,1
5210,21,PUEBLA,1
5211,21,PUEBLA,1
5212,21,PUEBLA,1
5213,21,PUEBLA,1
5214,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5215,21,PUEBLA,1
5216,21,PUEBLA,1
5217,21,PUEBLA,1
5218,21,PUEBLA,1
5219,21,PUEBLA,1
5220,29,TLAXCALA,1
5221,21,PUEBLA,1
5222,9,DISTRITO FEDERAL,1
5223,21,PUEBLA,1
5224,21,PUEBLA,1
5225,21,PUEBLA,1
5226,21,PUEBLA,1
5227,21,PUEBLA,1
5228,21,PUEBLA,1
5229,21,PUEBLA,1
5230,21,PUEBLA,1
5231,12,GUERRERO,1
5232,21,PUEBLA,1
5233,21,PUEBLA,1
5234,15,MEXICO,1
5235,21,PUEBLA,1
5236,21,PUEBLA,1
5237,21,PUEBLA,1
5238,21,PUEBLA,1
5239,21,PUEBLA,1
5240,21,PUEBLA,1
5241,21,PUEBLA,1
5242,29,TLAXCALA,1
5243,21,PUEBLA,1
5244,21,PUEBLA,1
5245,21,PUEBLA,1
5246,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5247,21,PUEBLA,1
5248,21,PUEBLA,1
5249,21,PUEBLA,1
5250,21,PUEBLA,1
5251,21,PUEBLA,1
5252,21,PUEBLA,1
5253,21,PUEBLA,1
5254,21,PUEBLA,1
5255,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5256,21,PUEBLA,1
5257,21,PUEBLA,1
5258,21,PUEBLA,1
5259,21,PUEBLA,1
5260,21,PUEBLA,1
5261,29,TLAXCALA,1
5262,12,GUERRERO,1
5263,12,GUERRERO,1
5264,21,PUEBLA,1
5265,21,PUEBLA,1
5266,15,MEXICO,1
5267,21,PUEBLA,1
5268,21,PUEBLA,1
5269,21,PUEBLA,1
5270,21,PUEBLA,1
5271,21,PUEBLA,1
5272,21,PUEBLA,1
5273,21,PUEBLA,1
5274,21,PUEBLA,1
5275,21,PUEBLA,1
5276,21,PUEBLA,1
5277,21,PUEBLA,1
5278,29,TLAXCALA,1
5279,21,PUEBLA,1
5280,29,TLAXCALA,1
5281,17,MORELOS,1
5282,21,PUEBLA,1
5283,21,PUEBLA,1
5284,12,GUERRERO,1
5285,21,PUEBLA,1
5286,21,PUEBLA,1
5287,21,PUEBLA,1
5288,21,PUEBLA,1
5289,21,PUEBLA,1
5290,21,PUEBLA,1
5291,21,PUEBLA,1
5292,21,PUEBLA,1
5293,21,PUEBLA,1
5294,21,PUEBLA,1
5295,21,PUEBLA,1
5296,21,PUEBLA,1
5297,21,PUEBLA,1
5298,21,PUEBLA,1
5299,21,PUEBLA,1
5300,21,PUEBLA,1
5301,21,PUEBLA,1
5302,21,PUEBLA,1
5303,21,PUEBLA,1
5304,21,PUEBLA,1
5305,21,PUEBLA,1
5306,21,PUEBLA,1
5307,21,PUEBLA,1
5308,21,PUEBLA,1
5309,21,PUEBLA,1
5310,21,PUEBLA,1
5311,21,PUEBLA,1
5312,21,PUEBLA,1
5313,21,PUEBLA,1
5314,21,PUEBLA,1
5315,21,PUEBLA,1
5316,12,GUERRERO,1
5317,21,PUEBLA,1
5318,21,PUEBLA,1
5319,21,PUEBLA,1
5320,21,PUEBLA,1
5321,21,PUEBLA,1
5322,21,PUEBLA,1
5323,21,PUEBLA,1
5324,8,CHIHUAHUA,1
5325,21,PUEBLA,1
5326,21,PUEBLA,1
5327,21,PUEBLA,1
5328,21,PUEBLA,1
5329,21,PUEBLA,1
5330,21,PUEBLA,1
5331,21,PUEBLA,1
5332,21,PUEBLA,1
5333,21,PUEBLA,1
5334,21,PUEBLA,1
5335,21,PUEBLA,1
5336,21,PUEBLA,1
5337,29,TLAXCALA,1
5338,29,TLAXCALA,1
5339,21,PUEBLA,1
5340,21,PUEBLA,1
5341,21,PUEBLA,1
5342,21,PUEBLA,1
5343,12,GUERRERO,1
5344,21,PUEBLA,1
5345,21,PUEBLA,1
5346,32,ZACATECAS,1
5347,21,PUEBLA,1
5348,21,PUEBLA,1
5349,21,PUEBLA,1
5350,21,PUEBLA,1
5351,21,PUEBLA,1
5352,21,PUEBLA,1
5353,12,GUERRERO,1
5354,12,GUERRERO,1
5355,23,QUINTANA ROO,1
5356,29,TLAXCALA,1
5357,21,PUEBLA,1
5358,21,PUEBLA,1
5359,21,PUEBLA,1
5360,21,PUEBLA,1
5361,21,PUEBLA,1
5362,21,PUEBLA,1
5363,21,PUEBLA,1
5364,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5365,21,PUEBLA,1
5366,21,PUEBLA,1
5367,21,PUEBLA,1
5368,21,PUEBLA,1
5369,21,PUEBLA,1
5370,29,TLAXCALA,1
5371,21,PUEBLA,1
5372,29,TLAXCALA,1
5373,21,PUEBLA,1
5374,21,PUEBLA,1
5375,21,PUEBLA,1
5376,21,PUEBLA,1
5377,29,TLAXCALA,1
5378,21,PUEBLA,1
5379,21,PUEBLA,1
5380,21,PUEBLA,1
5381,21,PUEBLA,1
5382,21,PUEBLA,1
5383,21,PUEBLA,1
5384,21,PUEBLA,1
5385,21,PUEBLA,1
5386,21,PUEBLA,1
5387,21,PUEBLA,1
5388,21,PUEBLA,1
5389,21,PUEBLA,1
5390,29,TLAXCALA,1
5391,21,PUEBLA,1
5392,21,PUEBLA,1
5393,21,PUEBLA,1
5394,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5395,21,PUEBLA,1
5396,21,PUEBLA,1
5397,21,PUEBLA,1
5398,21,PUEBLA,1
5399,21,PUEBLA,1
5400,21,PUEBLA,1
5401,21,PUEBLA,1
5402,21,PUEBLA,1
5403,21,PUEBLA,1
5404,21,PUEBLA,1
5405,21,PUEBLA,1
5406,21,PUEBLA,1
5407,21,PUEBLA,1
5408,21,PUEBLA,1
5409,29,TLAXCALA,1
5410,21,PUEBLA,1
5411,21,PUEBLA,1
5412,21,PUEBLA,1
5413,21,PUEBLA,1
5414,21,PUEBLA,1
5415,21,PUEBLA,1
5416,21,PUEBLA,1
5417,21,PUEBLA,1
5418,21,PUEBLA,1
5419,13,HIDALGO,1
5420,21,PUEBLA,1
5421,21,PUEBLA,1
5422,21,PUEBLA,1
5423,21,PUEBLA,1
5424,21,PUEBLA,1
5425,21,PUEBLA,1
5426,21,PUEBLA,1
5427,21,PUEBLA,1
5428,29,TLAXCALA,1
5429,21,PUEBLA,1
5430,21,PUEBLA,1
5431,29,TLAXCALA,1
5432,30,VERACRUZ DE IGNACIO DE LA LLAVE,1
5433,9,DISTRITO FEDERAL,1
5434,21,PUEBLA,1
5435,21,PUEBLA,1
5436,21,PUEBLA,1
5437,21,PUEBLA,1
5438,29,TLAXCALA,1
5439,21,PUEBLA,1
5440,21,PUEBLA,1
5441,21,PUEBLA,1
5442,21,PUEBLA,1
5443,21,PUEBLA,1
5444,21,PUEBLA,1
5445,21,PUEBLA,1
5446,21,PUEBLA,1
5447,21,PUEBLA,1
5448,21,PUEBLA,1
5449,21,PUEBLA,1
5450,21,PUEBLA,1
5451,21,PUEBLA,1
5452,21,PUEBLA,1
5453,21,PUEBLA,1
5454,21,PUEBLA,1
5455,21,PUEBLA,1
5456,21,PUEBLA,1
5457,21,PUEBLA,1
5458,21,PUEBLA,1
5459,21,PUEBLA,1
5460,29,TLAXCALA,1
5461,21,PUEBLA,1
5462,21,PUEBLA,1
5463,21,PUEBLA,1
5464,21,PUEBLA,1
5465,21,PUEBLA,1
5466,21,PUEBLA,1
5467,21,PUEBLA,1
5468,21,PUEBLA,1
5469,21,PUEBLA,1
5470,21,PUEBLA,1
